(home),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Yemen,67, 66, 65, 65, 64, 63, 63, 62, 61, 61, 60, 59, 59, 58, 57, 57, 56, 55, 55, 55, 55,
Latin America and the Caribbean,86, 86, 87, 87, 88, 88, 89, 89, 89, 90, 90, 91, 91, 92, 92, 93, 93, 93, 94, 94, 94,
Caribbean,80, 80, 80, 81, 81, 81, 82, 82, 82, 82, 82, 83, 83, 83, 84, 84, 84, 84, 85, 85, 85,
Anguilla,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91, 91,,,,,,,
Aruba,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Bahamas,,, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96,,,,,,,
Barbados,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
British Virgin Islands,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,, 93, 93, 93, 93, 93, 93, 93, 93, 94, 94, 94, 94, 95, 95, 95, 95, 96, 96,
Cuba,82, 83, 84, 85, 85, 86, 87, 87, 88, 88, 90, 90, 91, 91, 92, 92, 93, 94, 94, 94, 94,
Dominica,,,,,, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95,,,,
Dominican Republic,88, 88, 88, 88, 88, 88, 88, 88, 87, 87, 87, 87, 87, 87, 87, 87, 86, 86, 86, 86, 86,
Grenada,,, 94, 94, 94, 94, 94, 94, 94, 94, 94, 94, 94, 94, 94,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,
Haiti,59, 59, 60, 60, 60, 60, 61, 61, 62, 62, 62, 63, 64, 65, 65, 66, 67, 67, 68, 68, 69,
Jamaica,93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93, 93,
Martinique,,,,,,,,,,,,,,,,,,,,,,
Montserrat,,,,,,,,,,,,,,,,,,,,,,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99,
Saint Lucia,94, 94, 94, 94, 94, 94, 94, 95, 95, 95, 95, 95, 95, 95, 96, 96, 96, 96, 96, 96, 96,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,88, 89, 89, 89, 89, 90, 90, 90, 91, 91, 91, 92, 92, 92, 93, 93, 94, 94, 94, 94, 94,
Turks and Caicos Islands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
United States Virgin Islands,,,,,,,,,,,,,,,,,,,,,,
Latin America,86, 86, 87, 88, 88, 89, 89, 90, 90, 91, 91, 91, 91, 92, 93, 93, 93, 94, 94, 94, 95,
Argentina,94, 94, 95, 95, 95, 95, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 96, 97,,,,
Belize,74, 75, 76, 77, 79, 80, 81, 83, 84, 85, 86, 88, 89, 90, 91, 93, 94, 95, 96, 97, 98,
Bolivia (Plurinational State of),70, 71, 72, 74, 74, 76, 76, 77, 78, 79, 80, 80, 81, 83, 83, 84, 84, 85, 86, 87, 88,
Brazil,89, 89, 90, 90, 91, 91, 92, 92, 93, 94, 94, 94, 94, 95, 95, 96, 96, 97, 97, 97, 98,
Chile,90, 91, 91, 92, 92, 92, 93, 93, 94, 94, 94, 95, 95, 95, 96, 96, 96, 96, 96, 96, 96,
Colombia,89, 89, 89, 90, 90, 90, 90, 90, 90, 90, 91, 91, 91, 91, 92, 92, 92, 92, 92, 92, 92,
Costa Rica,93, 93, 93, 93, 94, 94, 94, 94, 94, 95, 95, 95, 95, 95, 96, 96, 96, 96, 97, 97, 97,
Ecuador,72, 74, 75, 77, 78, 79, 80, 82, 83, 84, 86, 87, 88, 90, 91, 92, 94, 94, 94, 94, 94,
El Salvador,74, 74, 76, 76, 77, 78, 79, 80, 81, 82, 82, 83, 84, 84, 85, 86, 86, 87, 87, 87, 88,
Falkland Is (Malvinas),,,,,,,,,,,,,,,,,,,,,,
French Guiana,,,,,,,,,,,,,,,,,,,,,,
Guatemala,81, 82, 83, 83, 84, 84, 85, 86, 86, 87, 87, 88, 89, 90, 90, 91, 91, 92, 92, 92, 92,
Guyana,,,,, 88, 88, 88, 88, 88, 89, 89, 90, 90, 91, 91, 92, 92, 92, 93, 93, 94,
Honduras,76, 77, 77, 77, 78, 79, 80, 80, 81, 81, 82, 83, 83, 83, 84, 85, 85, 86, 87, 87, 87,
Mexico,85, 85, 85, 87, 87, 88, 88, 89, 89, 90, 90, 91, 91, 92, 93, 93, 94, 94, 94, 95, 96,
Nicaragua,74, 74, 75, 76, 76, 77, 78, 78, 78, 80, 80, 80, 81, 82, 82, 83, 83, 84, 85, 85, 85,
Panama,84, 85, 85, 86, 86, 87, 88, 89, 90, 90, 90, 91, 91, 92, 92, 93, 93, 93, 93, 93,,
Paraguay,52, 54, 57, 59, 61, 64, 65, 68, 69, 72, 74, 76, 78, 80, 82, 83, 86, 86, 86, 86, 86,
Peru,75, 76, 76, 77, 77, 78, 78, 79, 79, 79, 81, 81, 81, 82, 82, 83, 83, 83, 84, 85, 85,
Suriname,,,,, 88, 88, 89, 89, 89, 89, 89, 90, 90, 91, 90, 91, 91, 92, 92, 92, 92,
Uruguay,96, 96, 96, 96, 96, 96, 97, 97, 98, 98, 98, 98, 98, 98,100,100,100,100,100,100,100,
Venezuela (Bolivarian Republic of),90, 90, 91, 91, 91, 91, 91, 92, 92, 92, 92, 92, 92, 92, 92, 92, 93, 93,,,,
Oceania ,55, 54, 54, 55, 55, 55, 55, 55, 55, 54, 54, 54, 54, 54, 54, 55, 54, 54, 53, 53, 53,
American Samoa,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,,,,,,,,,,,,,,,,,,,,,,
Fiji,84, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 93, 94, 95, 95, 97, 98, 98, 98, 98, 98,
French Polynesia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Guam,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Kiribati,48, 49, 50, 52, 53, 54, 56, 57, 59, 60, 62, 62, 63, 63, 63, 63, 63,,,,,
Marshall Islands,95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 95, 94, 94, 94, 94, 94, 94,
Micronesia (Federated States of),89, 89, 89, 89, 90, 90, 90, 91, 92, 92, 92, 93, 94, 94, 94, 94, 94,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,
Niue,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98,
Palau,80, 80, 80, 80, 80, 80, 81, 82, 82, 83, 83, 84, 84, 84, 85, 85, 85, 86, 85, 85, 85,
Papua New Guinea,41, 40, 40, 40, 40, 40, 40, 40, 40, 39, 39, 39, 39, 39, 39, 40, 40, 40, 40, 40, 40,
Samoa,89, 89, 90, 90, 91, 91, 91, 91, 91, 92, 92, 93, 93, 94, 94, 94, 94, 94, 95, 95, 96,
Solomon Islands,,,, 69, 69, 69, 69, 69, 69, 69, 70, 70, 70, 70, 70, 70,,,,,,
Tokelau,,,,,,,,,,,,,,,,,,,,,,
Tonga,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Tuvalu,90, 90, 90, 91, 91, 92, 92, 93, 93, 94, 94, 94, 95, 95, 96, 96, 96, 97, 97, 98, 98,
Vanuatu,62, 63, 65, 66, 68, 69, 70, 72, 73, 75, 76, 77, 79, 80, 81, 83, 84, 86, 86, 88, 90,
Wallis and Futuna Islands,,,,,,,,,,,,,,,,,,,,,,
Developed countries,98, 98, 98, 98, 98, 98, 98, 98, 98, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99,
Albania,97, 97, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 97, 97, 96, 96, 96, 95, 96, 95, 95,
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Belarus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Bermuda,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 97, 98, 98, 98, 98, 98, 99, 99, 99, 99, 99,
Bulgaria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Canada,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Croatia,99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99,
Cyprus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Czech Republic,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Denmark,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Estonia,98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98,
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,
Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
France,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Germany,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,
Greece,96, 97, 97, 97, 98, 98, 98, 98, 98, 99, 99, 99,100,100,100,100,100,100,100,100,100,
Greenland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Holy See,,,,,,,,,,,,,,,,,,,,,,
Hungary,96, 96, 96, 97, 97, 97, 98, 98, 98, 98, 99,100,100,100,100,100,100,100,100,100,100,
Iceland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Ireland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Israel,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Italy,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Japan,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Latvia,99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92, 92,,
Luxembourg,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Malta,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Monaco,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Montenegro,97, 97, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98, 98,
Netherlands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
New Zealand,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Norway,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Poland,,,,,,,,,,,,,,,,,,,,,,
Portugal,96, 96, 96, 96, 97, 97, 97, 98, 98, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99,
Republic of Moldova,,, 93, 93, 93, 93, 93, 93, 93, 93, 93, 94, 94, 94, 94, 94, 95, 95, 95, 96, 96,
Romania,75, 76, 77, 78, 79, 80, 81, 82, 82, 83, 84, 85, 86, 87, 88, 89, 89, 89, 89,,,
Russian Federation,93, 93, 94, 94, 94, 94, 94, 95, 95, 95, 95, 95, 95, 95, 96, 96, 97, 97, 97, 97, 97,
Saint Pierre and Miquelon,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,
Serbia,99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,
Slovakia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Slovenia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100, 99, 99, 99, 99,
Spain,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Sweden,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Switzerland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
The former Yugoslav Republic of Macedonia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Ukraine,,,,, 97, 97, 97, 97, 97, 96, 97, 97, 97, 97, 98, 98, 97, 97, 98, 98, 98,
United Kingdom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
United States of America,99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99,
